date, pm25, pm10, o3, no2, so2, co
2024/12/26, 160, 43, 26, 20, 3, 5
2024/12/27, 82, 55, 21, 20, 4, 6
2024/12/28, 103, 70, 23, 30, 4, 6
2024/12/29, 133, , , , , 
2024/7/1, 82, 21, 38, 9, 2, 4
2024/7/2, 63, 22, 63, 10, 2, 4
2024/7/3, 62, 30, 52, 15, 2, 4
2024/7/4, 74, 38, 70, 15, 4, 4
2024/7/5, 84, 38, 60, 11, 2, 4
2024/7/6, 74, 46, 20, 13, 2, 5
2024/7/7, 82, 37, 54, 13, 2, 4
2024/7/8, 74, 37, 62, 12, 2, 4
2024/7/9, 75, 34, 28, 13, 2, 5
2024/7/10, 83, 18, 34, 15, 2, 5
2024/7/11, 35, 25, 16, 16, 2, 5
2024/7/12, 76, 35, 31, 15, 3, 5
2024/7/13, 96, 52, 39, 15, 2, 5
2024/7/14, 136, 46, 54, 22, 3, 5
2024/7/15, 123, 20, 43, 11, 3, 3
2024/7/16, 58, 30, 64, 11, 3, 3
2024/7/17, 64, 33, 42, 12, 3, 4
2024/7/18, 83, 33, 56, 14, 3, 4
2024/7/19, 84, 30, 70, 12, 4, 4
2024/7/20, 74, 44, 63, 10, 5, 3
2024/7/21, 114, 24, 62, 9, 6, 3
2024/7/22, 58, 19, 42, 8, 3, 3
2024/7/23, 27, 19, 19, 6, 4, 3
2024/7/24, 19, 21, 18, 5, 2, 3
2024/7/25, 26, 26, 17, 5, 2, 3
2024/7/26, 38, 23, 24, 4, 2, 3
2024/7/27, 38, 23, 28, 6, 3, 3
2024/7/28, 38, 16, 39, 7, 3, 3
2024/7/29, 32, 18, 36, 8, 3, 3
2024/7/30, 32, 26, 58, 8, 3, 3
2024/7/31, 49, 30, 48, 11, 2, 4
2024/8/1, 60, 36, 97, 10, 3, 5
2024/8/2, 73, 39, 87, 11, 3, 4
2024/8/3, 79, 32, 77, 11, 3, 4
2024/8/4, 63, 34, 82, 10, 3, 4
2024/8/5, 67, 30, 51, 8, 3, 3
2024/8/6, 61, 27, 50, 9, 3, 3
2024/8/7, 65, 37, 76, 12, 3, 4
2024/8/8, 70, 31, 85, 12, 3, 4
2024/8/9, 65, 36, 89, 10, 4, 4
2024/8/10, 70, 41, 75, 12, 3, 5
2024/8/11, 78, 41, 60, 15, 2, 6
2024/8/12, 84, 31, 61, 10, 2, 5
2024/8/13, 77, 17, 44, 8, 2, 4
2024/8/14, 46, 22, 37, 8, 3, 5
2024/8/15, 47, 30, 31, 9, 3, 4
2024/8/16, 73, 20, 36, 8, 3, 4
2024/8/17, 53, 13, 30, 6, 2, 4
2024/8/18, 37, 17, 28, 6, 3, 3
2024/8/19, 34, 23, 53, 8, 3, 4
2024/8/20, 52, 19, 40, 9, 2, 4
2024/8/21, 46, 32, 82, 10, 3, 5
2024/8/22, 84, 31, 95, 13, 3, 6
2024/8/23, 68, 25, 54, 8, 3, 4
2024/8/24, 60, 25, 52, 7, 3, 4
2024/8/25, 57, 23, 57, 8, 3, 4
2024/8/26, 49, 41, 62, 12, 3, 7
2024/8/27, 77, 27, 33, 8, 2, 6
2024/8/28, 78, 13, 32, 6, 3, 4
2024/8/29, 33, 23, 50, 9, 3, 5
2024/8/30, 53, 26, 58, 12, 4, 5
2024/8/31, 58, 31, 95, 9, 3, 5
2024/9/1, 64, 34, 87, 11, 4, 5
2024/9/2, 73, 23, 32, 8, 3, 5
2024/9/3, 54, 22, 48, 9, 3, 4
2024/9/4, 51, 19, 49, 8, 3, 4
2024/9/5, 51, 37, 32, 10, 3, 4
2024/9/6, 75, 41, 37, 9, 3, 3
2024/9/7, 91, 25, 29, 9, 4, 3
2024/9/8, 65, 18, 24, 7, 3, 3
2024/9/9, 43, 28, 30, 8, 3, 4
2024/9/10, 65, 12, 14, 5, 2, 3
2024/9/11, 25, 21, 45, 7, 3, 3
2024/9/12, 46, 14, 32, 7, 3, 3
2024/9/13, 32, 15, 19, 7, 3, 3
2024/9/14, 32, 22, 26, 5, 3, 4
2024/9/15, 44, 14, 20, 3, 3, 4
2024/9/16, 29, 18, 21, 4, 2, 6
2024/9/17, 29, 20, 19, 6, 3, 6
2024/9/18, 37, 23, 9, 5, 3, 5
2024/9/19, 29, 14, 15, 12, 2, 6
2024/9/20, 37, 17, 30, 7, 3, 6
2024/9/21, 33, 26, 36, 6, 3, 5
2024/9/22, 41, 23, 40, 10, 3, 6
2024/9/23, 36, 27, 27, 15, 3, 5
2024/9/24, 58, 23, 14, 23, 3, 6
2024/9/25, 73, 12, 30, 15, 3, 5
2024/9/26, 41, 25, 51, 12, 3, 4
2024/9/27, 48, 30, 49, 10, 3, 4
2024/9/28, 59, 30, 35, 12, 3, 3
2024/9/29, 54, 30, 32, 7, 3, 3
2024/9/30, 63, 16, 31, 6, 3, 3
2024/4/1, 115, 29, 34, 23, 4, 7
2024/4/2, 67, 24, 33, 13, 3, 7
2024/4/3, 71, 40, 48, 13, 5, 8
2024/4/4, 93, 45, 51, 11, 4, 6
2024/4/5, 78, 41, 34, 16, 3, 6
2024/4/6, 91, 40, 35, 23, 3, 6
2024/4/7, 90, 27, 34, 18, 3, 5
2024/4/8, 73, 50, 54, 23, 5, 6
2024/4/9, 114, 53, 48, 21, 3, 4
2024/4/10, 100, 47, 38, 14, 3, 4
2024/4/11, 76, 25, 24, 17, 3, 4
2024/4/12, 61, 21, 28, 13, 3, 4
2024/4/13, 66, 19, 33, 13, 3, 5
2024/4/14, 49, 43, 56, 15, 3, 7
